Username,Total_Games_January,Min_RATING_January,Max_RATING_January
Punse,63,0,0
sorkargg,22,0,0
luffynguyen,15,0,0
mustafaisgun,47,0,0
Foccusntrate,52,0,0
xeek102,15,0,0
mustafazahedi,28,0,0
Mahan94,43,0,0
FrenchVanilla86,79,0,0
unprasad72,65,0,0
tomzinhos,105,0,0
George1418,23,0,0
sh-k,16,0,0
Aurelius666,82,0,0
Rauf_Bikbulatov,32,0,0
MKMadking,47,0,0
Murz1Kq,56,0,0
maxsivesnt,57,0,0
Spidey_4,39,0,0
betelscn,26,0,0
ilamughil1,50,0,0
Filbli2,18,0,0
KN_Lakers,15,0,0
AS1984,91,0,0
kiljoy13,64,0,0
AlliedBarberMoose,46,0,0
alexander_piter,54,0,0
Helio_Vilchis,33,0,0
Nsangou,38,0,0
sergeyychenik,47,0,0
Shishtawy69,25,0,0
Bosterito,40,0,0
yvog,25,0,0
jhon-Arjona,18,0,0
skmohapatra55,79,0,0
Sergey3733,100,0,0
david-mimi,205,0,0
Kingontherocks,87,0,0
JuanVillarreal,257,0,0
trilogylemmon,119,0,0
EndGameIV,55,0,0
mehdi128835,135,0,0
lonewolf_44,66,0,0
hoby,115,0,0
edp2016,36,0,0
ajcguv,182,0,0
playdead9,59,0,0
Brodyaga50,39,0,0
Yaman_Haidar1,19,0,0
PhilippeJC,151,0,0
Maratvalejev,49,0,0
theislexx,23,0,0
water980,31,0,0
Argonaut71,213,0,0
ShivkumarKotian16,22,0,0
ppk16,32,0,0
soroastro,134,0,0
madrid1368,278,0,0
OLASE24,111,0,0
Bibin_Bibi89215,152,0,0
KnobKnobDunk,44,0,0
Charly12,62,0,0
Wirthman,53,0,0
vijayvalli003,29,0,0
JuanMiron,274,0,0
og_sundergarde,30,0,0
verbludwe,17,0,0
PawnByte,41,0,0
Alfred6,40,0,0
seif_salah_eldeen,35,0,0
Kasum134,20,0,0
doedoe32,21,0,0
revaz1989,23,0,0
Tanyushka83,80,0,0
lucaugusto,16,0,0
taha_kamalli,17,0,0
b2nis,314,0,0
mpou78,144,0,0
successful20,27,0,0
zug42zwang,16,0,0
