1) Total Games Played: 98994760

2) Distinct Time Controls and Proportions:

  - 1800+7: 86 games (0.00%)
  - 240+12: 85 games (0.00%)
  - 1500+14: 85 games (0.00%)
  - 2100+2: 85 games (0.00%)
  - 5400+10: 83 games (0.00%)
  - 1800+35: 83 games (0.00%)
  - 420+18: 83 games (0.00%)
  - 960+1: 82 games (0.00%)
  - 960+4: 82 games (0.00%)
  - 60+180: 81 games (0.00%)
  - 180+12: 80 games (0.00%)
  - 420+11: 80 games (0.00%)
  - 780+30: 80 games (0.00%)
  - 240+15: 78 games (0.00%)
  - 540+8: 78 games (0.00%)
  - 600+13: 77 games (0.00%)
  - 7200+3: 77 games (0.00%)
  - 45+7: 77 games (0.00%)
  - 300+120: 76 games (0.00%)
  - 600+120: 76 games (0.00%)
  - 3600+1: 75 games (0.00%)
  - 300+19: 75 games (0.00%)
  - 1260+1: 74 games (0.00%)
  - 1140+8: 74 games (0.00%)
  - 2700+9: 74 games (0.00%)
  - 30+180: 74 games (0.00%)
  - 0+60: 73 games (0.00%)
  - 10800+60: 73 games (0.00%)
  - 960+8: 73 games (0.00%)
  - 5400+7: 73 games (0.00%)
  - 420+30: 72 games (0.00%)
  - 0+25: 71 games (0.00%)
  - 600+16: 71 games (0.00%)
  - 1140+15: 71 games (0.00%)
  - 10800+2: 71 games (0.00%)
  - 960+13: 71 games (0.00%)
  - 1260+3: 70 games (0.00%)
  - 3600+2: 70 games (0.00%)
  - 1260+2: 69 games (0.00%)
  - 960+7: 69 games (0.00%)
  - 180+35: 68 games (0.00%)
  - 1260+5: 67 games (0.00%)
  - 660+4: 66 games (0.00%)
  - 420+45: 65 games (0.00%)
  - 1020+17: 64 games (0.00%)
  - 0+13: 64 games (0.00%)
  - 960+17: 64 games (0.00%)
  - 90+8: 63 games (0.00%)
  - 900+19: 63 games (0.00%)
  - 2100+35: 63 games (0.00%)
  - 1800+16: 62 games (0.00%)
  - 10800+30: 62 games (0.00%)
  - 1500+9: 61 games (0.00%)
  - 60+14: 61 games (0.00%)
  - 840+7: 60 games (0.00%)
  - 1260+8: 59 games (0.00%)
  - 120+20: 59 games (0.00%)
  - 1080+12: 58 games (0.00%)
  - 5400+20: 58 games (0.00%)
  - 1500+4: 58 games (0.00%)
  - 420+25: 57 games (0.00%)
  - 540+11: 57 games (0.00%)
  - 660+13: 56 games (0.00%)
  - 3600+6: 56 games (0.00%)
  - 780+15: 56 games (0.00%)
  - 540+15: 55 games (0.00%)
  - 180+19: 55 games (0.00%)
  - 2400+40: 54 games (0.00%)
  - 960+11: 54 games (0.00%)
  - 1500+180: 54 games (0.00%)
  - 120+45: 53 games (0.00%)
  - 780+14: 53 games (0.00%)
  - 2700+35: 53 games (0.00%)
  - 240+120: 53 games (0.00%)
  - 1140+19: 52 games (0.00%)
  - 780+20: 52 games (0.00%)
  - 660+12: 52 games (0.00%)
  - 300+16: 51 games (0.00%)
  - 60+35: 51 games (0.00%)
  - 1800+150: 51 games (0.00%)
  - 1200+40: 51 games (0.00%)
  - 2700+60: 50 games (0.00%)
  - 1260+13: 50 games (0.00%)
  - 5400+15: 50 games (0.00%)
  - 120+40: 50 games (0.00%)
  - 780+12: 49 games (0.00%)
  - 7200+120: 49 games (0.00%)
  - 2700+25: 49 games (0.00%)
  - 1020+13: 48 games (0.00%)
  - 90+15: 48 games (0.00%)
  - 240+14: 48 games (0.00%)
  - 960+2: 48 games (0.00%)
  - 360+16: 48 games (0.00%)
  - 1020+20: 48 games (0.00%)
  - 240+16: 48 games (0.00%)
  - 10800+150: 47 games (0.00%)
  - 840+60: 47 games (0.00%)
  - 180+11: 46 games (0.00%)
  - 9000+15: 46 games (0.00%)
  - 840+17: 46 games (0.00%)
  - 720+11: 45 games (0.00%)
  - 1140+10: 45 games (0.00%)
  - 300+150: 45 games (0.00%)
  - 1020+6: 44 games (0.00%)
  - 180+14: 43 games (0.00%)
  - 2400+25: 42 games (0.00%)
  - 2100+180: 41 games (0.00%)
  - 1140+7: 41 games (0.00%)
  - 480+30: 41 games (0.00%)
  - 900+17: 41 games (0.00%)
  - 1020+8: 41 games (0.00%)
  - 1800+14: 40 games (0.00%)
  - 10800+35: 40 games (0.00%)
  - 1500+45: 40 games (0.00%)
  - 3600+7: 40 games (0.00%)
  - 1800+17: 40 games (0.00%)
  - 840+13: 40 games (0.00%)
  - 180+180: 39 games (0.00%)
  - 7200+17: 39 games (0.00%)
  - 1500+17: 39 games (0.00%)
  - 2400+120: 38 games (0.00%)
  - 15+8: 38 games (0.00%)
  - 2100+14: 38 games (0.00%)
  - 2100+1: 38 games (0.00%)
  - 720+30: 38 games (0.00%)
  - 5400+180: 37 games (0.00%)
  - 420+16: 37 games (0.00%)
  - 2700+13: 37 games (0.00%)
  - 45+11: 37 games (0.00%)
  - 2400+60: 37 games (0.00%)
  - 2100+8: 36 games (0.00%)
  - 0+35: 36 games (0.00%)
  - 600+18: 36 games (0.00%)
  - 7200+180: 35 games (0.00%)
  - 120+11: 35 games (0.00%)
  - 360+18: 35 games (0.00%)
  - 15+90: 34 games (0.00%)
  - 120+35: 34 games (0.00%)
  - 960+9: 34 games (0.00%)
  - 420+20: 34 games (0.00%)
  - 600+90: 34 games (0.00%)
  - 1140+13: 34 games (0.00%)
  - 45+8: 34 games (0.00%)
  - 4500+3: 33 games (0.00%)
  - 7200+60: 33 games (0.00%)
  - 360+13: 32 games (0.00%)
  - 3000+0: 32 games (0.00%)
  - 420+180: 32 games (0.00%)
  - 5400+35: 31 games (0.00%)
  - 60+60: 30 games (0.00%)
  - 1800+19: 29 games (0.00%)
  - 120+180: 29 games (0.00%)
  - 1020+1: 29 games (0.00%)
  - 2700+4: 29 games (0.00%)
  - 1200+90: 29 games (0.00%)
  - 840+20: 29 games (0.00%)
  - 1020+11: 28 games (0.00%)
  - 1500+12: 28 games (0.00%)
  - 2100+17: 28 games (0.00%)
  - 780+16: 28 games (0.00%)
  - 1020+12: 27 games (0.00%)
  - 9000+10: 27 games (0.00%)
  - 30+8: 27 games (0.00%)
  - 1020+18: 26 games (0.00%)
  - 360+60: 26 games (0.00%)
  - 960+25: 26 games (0.00%)
  - 900+120: 26 games (0.00%)
  - 480+35: 26 games (0.00%)
  - 4500+30: 25 games (0.00%)
  - 120+17: 25 games (0.00%)
  - 1080+15: 25 games (0.00%)
  - 1020+2: 25 games (0.00%)
  - 120+60: 25 games (0.00%)
  - 2400+4: 25 games (0.00%)
  - 90+13: 25 games (0.00%)
  - 1080+20: 24 games (0.00%)
  - 840+12: 24 games (0.00%)
  - 1020+9: 24 games (0.00%)
  - 1500+90: 24 games (0.00%)
  - 10800+6: 23 games (0.00%)
  - 15+9: 23 games (0.00%)
  - 1020+19: 23 games (0.00%)
  - 2100+6: 23 games (0.00%)
  - 8100+0: 23 games (0.00%)
  - 1140+2: 23 games (0.00%)
  - 1020+15: 23 games (0.00%)
  - 540+14: 23 games (0.00%)
  - 5400+90: 22 games (0.00%)
  - 10800+20: 22 games (0.00%)
  - 600+35: 22 games (0.00%)
  - 480+180: 22 games (0.00%)
  - 180+60: 22 games (0.00%)
