TimeControl,Count,Proportion (%)
"120+150",1,0.00
"15+19",1,0.00
"30+35",1,0.00
"4500+11",1,0.00
"960+45",1,0.00
"9900+7",1,0.00
"9900+19",1,0.00
"5400+25",1,0.00
"180+150",1,0.00
"4500+2",1,0.00
"660+16",1,0.00
"2400+9",1,0.00
"540+60",1,0.00
"360+45",1,0.00
"420+35",1,0.00
"1140+25",1,0.00
"5400+9",1,0.00
"1080+25",1,0.00
"300+21",1,0.00
"10800+14",1,0.00
"2700+11",1,0.00
"9900+60",1,0.00
"540+35",1,0.00
"9000+30",1,0.00
"960+90",1,0.00
"4500+90",1,0.00
"2040+1",1,0.00
"2100+150",1,0.00
"45+90",1,0.00
"2040+2",1,0.00
"1080+19",1,0.00
"7200+11",1,0.00
"480+21",1,0.00
"9900+1",1,0.00
"4500+9",1,0.00
"5340+1",1,0.00
